Details of the solution:
route 0, node_num 6, cost 419.776000, nodes: 0(120000.00, 120000.00) 167 362 204 832 0(90016.00, 90016.00)
route 1, node_num 8, cost 1041.684000, nodes: 0(120000.00, 120000.00) 231 953 593 545 268 880 0(45594.00, 45594.00)
route 2, node_num 8, cost 616.756000, nodes: 0(120000.00, 120000.00) 158 532 427 488 726 544 0(75946.00, 75946.00)
route 3, node_num 8, cost 584.640000, nodes: 0(120000.00, 120000.00) 235 131 486 180 511 918 0(78240.00, 78240.00)
route 4, node_num 7, cost 859.068000, nodes: 0(120000.00, 120000.00) 743 702 557 93 988 0(58638.00, 58638.00)
route 5, node_num 7, cost 878.262000, nodes: 0(120000.00, 120000.00) 496 197 328 683 882 0(57267.00, 57267.00)
route 6, node_num 8, cost 736.414000, nodes: 0(120000.00, 120000.00) 627 120 750 62 699 927 0(67399.00, 67399.00)
route 7, node_num 6, cost 495.348000, nodes: 0(120000.00, 120000.00) 132 975 40 808 0(84618.00, 84618.00)
route 8, node_num 7, cost 922.628000, nodes: 0(120000.00, 120000.00) 233 965 262 454 403 0(54098.00, 54098.00)
route 9, node_num 8, cost 914.564000, nodes: 0(120000.00, 120000.00) 357 170 17 790 819 969 0(54674.00, 54674.00)
route 10, node_num 8, cost 865.186000, nodes: 0(120000.00, 120000.00) 903 83 35 254 220 458 1001 0(58201.00, 58201.00)
route 11, node_num 6, cost 684.782000, nodes: 0(120000.00, 120000.00) 719 314 970 11 0(71087.00, 71087.00)
route 12, node_num 9, cost 927.066000, nodes: 0(120000.00, 120000.00) 677 81 711 327 293 960 823 0(53781.00, 53781.00)
route 13, node_num 7, cost 861.546000, nodes: 0(120000.00, 120000.00) 157 725 503 415 762 0(58461.00, 58461.00)
route 14, node_num 7, cost 1072.120000, nodes: 0(120000.00, 120000.00) 412 923 25 892 872 0(43420.00, 43420.00)
route 15, node_num 7, cost 614.068000, nodes: 0(120000.00, 120000.00) 373 389 964 559 865 0(76138.00, 76138.00)
route 16, node_num 8, cost 896.546000, nodes: 0(120000.00, 120000.00) 497 794 87 843 329 118 0(55961.00, 55961.00)
route 17, node_num 8, cost 636.608000, nodes: 0(120000.00, 120000.00) 566 570 1013 799 418 789 636 0(74528.00, 74528.00)
route 18, node_num 8, cost 842.128000, nodes: 0(120000.00, 120000.00) 366 512 546 980 607 1001 788 0(59848.00, 59848.00)
route 19, node_num 8, cost 876.834000, nodes: 0(120000.00, 120000.00) 146 907 182 115 119 536 0(57369.00, 57369.00)
route 20, node_num 8, cost 916.104000, nodes: 0(120000.00, 120000.00) 289 622 701 665 978 809 0(54564.00, 54564.00)
route 21, node_num 8, cost 902.986000, nodes: 0(120000.00, 120000.00) 322 932 324 561 232 840 0(55501.00, 55501.00)
route 22, node_num 8, cost 868.280000, nodes: 0(120000.00, 120000.00) 608 950 305 520 188 50 0(57980.00, 57980.00)
route 23, node_num 7, cost 769.482000, nodes: 0(120000.00, 120000.00) 201 735 885 74 778 0(65037.00, 65037.00)
route 24, node_num 9, cost 909.314000, nodes: 0(120000.00, 120000.00) 390 199 350 342 216 106 428 0(55049.00, 55049.00)
route 25, node_num 8, cost 836.948000, nodes: 0(120000.00, 120000.00) 400 955 541 578 459 837 0(60218.00, 60218.00)
route 26, node_num 8, cost 708.316000, nodes: 0(120000.00, 120000.00) 817 669 449 181 888 338 0(69406.00, 69406.00)
route 27, node_num 7, cost 772.044000, nodes: 0(120000.00, 120000.00) 311 751 765 130 510 0(64854.00, 64854.00)
route 28, node_num 7, cost 759.892000, nodes: 0(120000.00, 120000.00) 838 71 727 490 134 0(65722.00, 65722.00)
route 29, node_num 8, cost 965.874000, nodes: 0(120000.00, 120000.00) 250 531 33 139 133 645 0(51009.00, 51009.00)
route 30, node_num 8, cost 952.700000, nodes: 0(120000.00, 120000.00) 75 41 191 833 703 80 0(51950.00, 51950.00)
route 31, node_num 9, cost 993.118000, nodes: 0(120000.00, 120000.00) 187 196 330 318 603 491 767 0(49063.00, 49063.00)
route 32, node_num 8, cost 760.998000, nodes: 0(120000.00, 120000.00) 492 563 929 835 164 944 0(65643.00, 65643.00)
route 33, node_num 6, cost 694.932000, nodes: 0(120000.00, 120000.00) 736 501 258 426 0(70362.00, 70362.00)
route 34, node_num 6, cost 701.414000, nodes: 0(120000.00, 120000.00) 842 1081 513 844 282 0(69899.00, 69899.00)
route 35, node_num 8, cost 773.108000, nodes: 0(120000.00, 120000.00) 995 388 873 792 425 956 0(64778.00, 64778.00)
route 36, node_num 6, cost 592.550000, nodes: 0(120000.00, 120000.00) 826 556 939 859 0(77675.00, 77675.00)
