Details of the solution:
route 0, node_num 7, cost 974.806000, nodes: 0(120000.00, 120000.00) 1004 282 164 1088 335 1071 1088 1016 192 1060 531 1060 1013 0(50371.00, 50371.00)
route 1, node_num 8, cost 829.052000, nodes: 0(120000.00, 120000.00) 1030 662 110 169 491 203 809 1008 1091 0(60782.00, 60782.00)
route 2, node_num 7, cost 1564.402000, nodes: 0(120000.00, 120000.00) 1073 1020 1082 1031 1066 752 107 186 369 466 1003 1031 1082 1020 1073 1013 0(8257.00, 8257.00)
route 3, node_num 8, cost 1211.602000, nodes: 0(120000.00, 120000.00) 1025 542 90 163 235 836 1035 479 1088 1011 1013 0(33457.00, 33457.00)
route 4, node_num 8, cost 712.642000, nodes: 0(120000.00, 120000.00) 664 98 595 596 1073 374 863 1091 0(69097.00, 69097.00)
route 5, node_num 8, cost 751.814000, nodes: 0(120000.00, 120000.00) 1030 1008 777 603 178 465 572 1008 1004 741 0(66299.00, 66299.00)
route 6, node_num 8, cost 1260.028000, nodes: 0(120000.00, 120000.00) 498 768 141 935 1052 791 407 1023 1064 1099 1079 0(29998.00, 29998.00)
route 7, node_num 8, cost 885.808000, nodes: 0(120000.00, 120000.00) 621 218 939 755 380 853 1073 1013 0(56728.00, 56728.00)
route 8, node_num 4, cost 42.812000, nodes: 0(120000.00, 120000.00) 327 286 0(116942.00, 116942.00)
route 9, node_num 9, cost 830.970000, nodes: 0(120000.00, 120000.00) 1004 532 419 481 1095 1045 413 601 171 473 0(60645.00, 60645.00)
route 10, node_num 8, cost 957.250000, nodes: 0(120000.00, 120000.00) 1012 1079 695 18 307 166 928 122 1060 1013 0(51625.00, 51625.00)
route 11, node_num 9, cost 873.600000, nodes: 0(120000.00, 120000.00) 548 19 472 977 406 829 1088 55 1060 1013 0(57600.00, 57600.00)
route 12, node_num 9, cost 1856.960000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 93163.00) 1031 727 145 330 244 794 1037(40259.00, 48899.00) 1059 1020 1073 1013 0(0.00, 0.00)
route 13, node_num 7, cost 313.880000, nodes: 0(120000.00, 120000.00) 138 831 569 566 14 0(97580.00, 97580.00)
route 14, node_num 10, cost 1696.562000, nodes: 0(120000.00, 120000.00) 1030 1007(82589.00, 82589.00) 956 1061 860 546 5 723 1081 236 1010 1007 1089 1019(23567.00, 24750.00) 0(0.00, 0.00)
route 15, node_num 7, cost 1643.110000, nodes: 0(120000.00, 120000.00) 1032 513 781 424 309 584 1052 1060 1013 0(2635.00, 2635.00)
route 16, node_num 8, cost 1339.436000, nodes: 0(120000.00, 120000.00) 1030 453 574 208 552 59 1015 1075 909 1019 0(24326.00, 24326.00)
route 17, node_num 8, cost 1589.882000, nodes: 0(120000.00, 120000.00) 1025 444 944 833 440 962 463 1092 1016 1025 1099 1079 0(6437.00, 6437.00)
route 18, node_num 10, cost 1762.544000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1066 181 125 803 788 329 922 1026 1095 1011 1072(2812.00, 8708.00) 0(0.00, 0.00)
route 19, node_num 7, cost 1301.776000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 1089 652 497 1007 745 746 1067 199 1067 1043 0(27016.00, 27016.00)
route 20, node_num 8, cost 1361.668000, nodes: 0(120000.00, 120000.00) 877 480 984 976 647 1022 783 0(22738.00, 22738.00)
route 21, node_num 8, cost 898.058000, nodes: 0(120000.00, 120000.00) 154 296 1099 547 240 1099 789 312 0(55853.00, 55853.00)
route 22, node_num 8, cost 1335.908000, nodes: 0(120000.00, 120000.00) 618 627 230 66 920 219 1023 1064 1099 1079 0(24578.00, 24578.00)
route 23, node_num 8, cost 1513.372000, nodes: 0(120000.00, 120000.00) 1025 1053 1035 420 622 78 322 582 428 1052 1060 1013 0(11902.00, 11902.00)
route 24, node_num 8, cost 1019.942000, nodes: 0(120000.00, 120000.00) 1030 1008 1019 8 505 262 298 422 363 1019 0(47147.00, 47147.00)
route 25, node_num 8, cost 706.314000, nodes: 0(120000.00, 120000.00) 1004 888 375 88 459 441 995 0(69549.00, 69549.00)
route 26, node_num 8, cost 818.118000, nodes: 0(120000.00, 120000.00) 1004 1058 798 914 913 544 361 946 1091 0(61563.00, 61563.00)
route 27, node_num 9, cost 569.604000, nodes: 0(120000.00, 120000.00) 300 733 359 694 624 268 360 1091 0(79314.00, 79314.00)
route 28, node_num 8, cost 862.470000, nodes: 0(120000.00, 120000.00) 38 759 328 234 558 691 1011 1013 0(58395.00, 58395.00)
route 29, node_num 9, cost 912.716000, nodes: 0(120000.00, 120000.00) 545 508 585 827 44 410 677 1073 1013 0(54806.00, 54806.00)
route 30, node_num 8, cost 599.718000, nodes: 0(120000.00, 120000.00) 1028 761 261 1013 993 726 451 124 1013 0(77163.00, 77163.00)
route 31, node_num 9, cost 1123.402000, nodes: 0(120000.00, 120000.00) 1033 926 272 535 867 399 448 642 1059 1020 1073 1013 0(39757.00, 39757.00)
route 32, node_num 8, cost 935.242000, nodes: 0(120000.00, 120000.00) 1033 719 196 246 188 364 159 1019 0(53197.00, 53197.00)
route 33, node_num 8, cost 1338.218000, nodes: 0(120000.00, 120000.00) 660 120 598 60 372 530 1054 1091 0(24413.00, 24413.00)
route 34, node_num 10, cost 1749.146000, nodes: 0(120000.00, 120000.00) 1029(89163.00, 89163.00) 1062 1046 502 176 672 929 29 33 1018 1019(19811.00, 24750.00) 0(0.00, 0.00)
route 35, node_num 8, cost 1504.258000, nodes: 0(120000.00, 120000.00) 1025 1053 1035 180 708 653 735 1017 67 477 1016 1025 1099 1079 0(12553.00, 12553.00)
route 36, node_num 9, cost 1814.302000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1006 41 292 613 784 92 938 1057 1008(6109.00, 15702.00) 1091 0(0.00, 0.00)
route 37, node_num 8, cost 1350.986000, nodes: 0(120000.00, 120000.00) 1025 1053 720 899 284 73 826 710 1090 1080 1045 1011 1013 0(23501.00, 23501.00)
route 38, node_num 8, cost 950.684000, nodes: 0(120000.00, 120000.00) 1033 340 801 64 121 405 271 1055 1033 0(52094.00, 52094.00)
route 39, node_num 9, cost 1070.944000, nodes: 0(120000.00, 120000.00) 1030 1043 1083 617 930 31 304 1085 27 609 278 1098 1045 1011 1013 0(43504.00, 43504.00)
route 40, node_num 8, cost 1202.978000, nodes: 0(120000.00, 120000.00) 921 916 567 644 638 269 1074 1059 1020 1073 1013 0(34073.00, 34073.00)
route 41, node_num 8, cost 1073.268000, nodes: 0(120000.00, 120000.00) 1033 339 583 305 204 323 889 1086 0(43338.00, 43338.00)
route 42, node_num 8, cost 1646.568000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1006 966 418 543 919 857 588 1034 1006 1074 1059 1020 1073 1013 0(2388.00, 2388.00)
route 43, node_num 9, cost 1010.212000, nodes: 0(120000.00, 120000.00) 469 1043 263 957 581 390 646 771 1029 1013 0(47842.00, 47842.00)
route 44, node_num 8, cost 236.754000, nodes: 0(120000.00, 120000.00) 189 12 973 970 216 509 0(103089.00, 103089.00)
route 45, node_num 8, cost 1080.954000, nodes: 0(120000.00, 120000.00) 1030 1043 430 394 1082 385 1009 874 35 414 1020 1073 1013 0(42789.00, 42789.00)
route 46, node_num 8, cost 891.366000, nodes: 0(120000.00, 120000.00) 1030 1008 195 734 56 631 715 666 1043 0(56331.00, 56331.00)
route 47, node_num 8, cost 1550.682000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 1057 640 876 632 978 589 744 1074 1059 1020 1073 1013 0(9237.00, 9237.00)
route 48, node_num 8, cost 1538.586000, nodes: 0(120000.00, 120000.00) 1030 1001 1059 1074 718 433 608 980 736 461 1071 1088 1011 1013 0(10101.00, 10101.00)
route 49, node_num 9, cost 841.554000, nodes: 0(120000.00, 120000.00) 493 1036 36 824 1099 1025 602 1025 999 457 1099 1079 241 1058 1036 1013 0(59889.00, 59889.00)
route 50, node_num 9, cost 933.072000, nodes: 0(120000.00, 120000.00) 343 1058 1079 650 1064 699 701 1025 923 382 77 1060 1013 0(53352.00, 53352.00)
route 51, node_num 8, cost 1235.458000, nodes: 0(120000.00, 120000.00) 700 637 886 150 686 1090 750 1098 1045 1011 1013 0(31753.00, 31753.00)
