Details of the solution:
route 0, node_num 9, cost 947.100000, nodes: 0(120000.00, 120000.00) 315 1087 356 335 121 986 723 198 0(52350.00, 52350.00)
route 1, node_num 7, cost 650.818000, nodes: 0(120000.00, 120000.00) 132 314 970 415 762 0(73513.00, 73513.00)
route 2, node_num 7, cost 1464.778000, nodes: 0(120000.00, 120000.00) 549 992 774 471 1088 237 0(15373.00, 15373.00)
route 3, node_num 8, cost 1268.428000, nodes: 0(120000.00, 120000.00) 658 110 685 506 590 519 0(29398.00, 29398.00)
route 4, node_num 8, cost 1562.246000, nodes: 0(120000.00, 120000.00) 696 946 1 499 467 393 1001 0(8411.00, 8411.00)
route 5, node_num 8, cost 1642.900000, nodes: 0(120000.00, 120000.00) 1012 693 200 113 3 851 938 0(2650.00, 2650.00)
route 6, node_num 7, cost 1313.004000, nodes: 0(120000.00, 120000.00) 674 521 694 66 323 0(26214.00, 26214.00)
route 7, node_num 8, cost 1076.474000, nodes: 0(120000.00, 120000.00) 686 983 433 805 451 109 0(43109.00, 43109.00)
route 8, node_num 5, cost 330.764000, nodes: 0(120000.00, 120000.00) 663 853 822 0(96374.00, 96374.00)
route 9, node_num 8, cost 1413.398000, nodes: 0(120000.00, 120000.00) 504 108 653 145 253 732 0(19043.00, 19043.00)
route 10, node_num 7, cost 611.982000, nodes: 0(120000.00, 120000.00) 391 706 312 737 349 0(76287.00, 76287.00)
route 11, node_num 8, cost 1867.894000, nodes: 0(120000.00, 120000.00) 1060(66386.00, 98386.00) 597 213 623 141 125 0(18579.00, 18579.00)
route 12, node_num 8, cost 1533.140000, nodes: 0(120000.00, 120000.00) 468 612 498 387 377 614 1001 0(10490.00, 10490.00)
route 13, node_num 8, cost 1725.458000, nodes: 0(120000.00, 120000.00) 1012(72845.00, 76092.00) 473 260 856 414 779 0(0.00, 0.00)
route 14, node_num 5, cost 519.862000, nodes: 0(120000.00, 120000.00) 357 799 559 0(82867.00, 82867.00)
route 15, node_num 9, cost 1626.352000, nodes: 0(120000.00, 120000.00) 185 104 151 463 716 172 1018(26256.00, 26256.00) 0(3832.00, 3832.00)
route 16, node_num 7, cost 905.604000, nodes: 0(120000.00, 120000.00) 187 196 330 318 603 0(55314.00, 55314.00)
route 17, node_num 6, cost 534.646000, nodes: 0(120000.00, 120000.00) 321 939 556 936 0(81811.00, 81811.00)
route 18, node_num 9, cost 1681.596000, nodes: 0(120000.00, 120000.00) 380 937 183 766 640 709 1075(17411.00, 17525.00) 0(0.00, 0.00)
route 19, node_num 8, cost 973.070000, nodes: 0(120000.00, 120000.00) 409 531 33 139 133 645 0(50495.00, 50495.00)
route 20, node_num 7, cost 1617.476000, nodes: 0(120000.00, 120000.00) 363 247 671 358 961 0(4466.00, 4466.00)
route 21, node_num 7, cost 772.688000, nodes: 0(120000.00, 120000.00) 89 749 659 883 341 0(64808.00, 64808.00)
route 22, node_num 7, cost 1404.522000, nodes: 0(120000.00, 120000.00) 257 870 967 334 619 0(19677.00, 19677.00)
route 23, node_num 7, cost 1310.512000, nodes: 0(120000.00, 120000.00) 475 1004 98 42 747 274 0(26392.00, 26392.00)
route 24, node_num 6, cost 732.200000, nodes: 0(120000.00, 120000.00) 235 834 29 997 0(67700.00, 67700.00)
route 25, node_num 7, cost 1588.958000, nodes: 0(120000.00, 120000.00) 643 913 951 962 864 0(6503.00, 6503.00)
route 26, node_num 8, cost 901.530000, nodes: 0(120000.00, 120000.00) 311 400 541 101 879 704 0(55605.00, 55605.00)
route 27, node_num 7, cost 1409.030000, nodes: 0(120000.00, 120000.00) 684 567 277 745 168 0(19355.00, 19355.00)
route 28, node_num 8, cost 1242.962000, nodes: 0(120000.00, 120000.00) 383 715 628 30 906 536 0(31217.00, 31217.00)
route 29, node_num 9, cost 455.462000, nodes: 0(120000.00, 120000.00) 555 633 698 991 652 550 782 0(87467.00, 87467.00)
route 30, node_num 5, cost 307.594000, nodes: 0(120000.00, 120000.00) 229 46 808 0(98029.00, 98029.00)
route 31, node_num 7, cost 1117.816000, nodes: 0(120000.00, 120000.00) 963 15 27 781 572 0(40156.00, 40156.00)
route 32, node_num 7, cost 846.104000, nodes: 0(120000.00, 120000.00) 912 394 286 878 195 0(59564.00, 59564.00)
route 33, node_num 8, cost 1432.732000, nodes: 0(120000.00, 120000.00) 930 638 367 931 569 703 1018 0(17662.00, 17662.00)
route 34, node_num 6, cost 1470.350000, nodes: 0(120000.00, 120000.00) 660 585 114 989 0(14975.00, 14975.00)
route 35, node_num 8, cost 1099.000000, nodes: 0(120000.00, 120000.00) 905 450 673 649 16 54 0(41500.00, 41500.00)
route 36, node_num 8, cost 1616.216000, nodes: 0(120000.00, 120000.00) 632 156 99 787 598 72 0(4556.00, 4556.00)
route 37, node_num 8, cost 1286.544000, nodes: 0(120000.00, 120000.00) 798 860 332 604 1047 60 654 1071 0(28104.00, 28104.00)
route 38, node_num 8, cost 1061.900000, nodes: 0(120000.00, 120000.00) 157 170 17 790 458 118 0(44150.00, 44150.00)
route 39, node_num 6, cost 1458.548000, nodes: 0(120000.00, 120000.00) 79 117 405 889 0(15818.00, 15818.00)
route 40, node_num 8, cost 1443.064000, nodes: 0(120000.00, 120000.00) 153 307 786 218 65 987 0(16924.00, 16924.00)
route 41, node_num 7, cost 1254.736000, nodes: 0(120000.00, 120000.00) 933 138 271 768 624 0(30376.00, 30376.00)
route 42, node_num 8, cost 1373.498000, nodes: 0(120000.00, 120000.00) 192 236 245 928 534 435 0(21893.00, 21893.00)
route 43, node_num 8, cost 1121.806000, nodes: 0(120000.00, 120000.00) 966 657 19 103 760 830 0(39871.00, 39871.00)
route 44, node_num 7, cost 472.472000, nodes: 0(120000.00, 120000.00) 514 44 777 325 914 0(86252.00, 86252.00)
route 45, node_num 8, cost 1352.260000, nodes: 0(120000.00, 120000.00) 1078 51 63 92 456 901 288 0(23410.00, 23410.00)
route 46, node_num 9, cost 839.958000, nodes: 0(120000.00, 120000.00) 496 87 197 843 293 960 823 0(60003.00, 60003.00)
route 47, node_num 8, cost 1624.490000, nodes: 0(120000.00, 120000.00) 812 309 421 945 424 354 1023 0(3965.00, 3965.00)
route 48, node_num 7, cost 798.028000, nodes: 0(120000.00, 120000.00) 679 90 868 217 147 0(62998.00, 62998.00)
route 49, node_num 6, cost 191.716000, nodes: 0(120000.00, 120000.00) 372 650 333 111 0(106306.00, 106306.00)
route 50, node_num 8, cost 715.946000, nodes: 0(120000.00, 120000.00) 608 950 449 181 888 338 0(68861.00, 68861.00)
route 51, node_num 8, cost 389.452000, nodes: 0(120000.00, 120000.00) 942 279 558 485 124 226 0(92182.00, 92182.00)
route 52, node_num 8, cost 725.060000, nodes: 0(120000.00, 120000.00) 682 742 447 920 539 670 0(68210.00, 68210.00)
route 53, node_num 8, cost 1333.878000, nodes: 0(120000.00, 120000.00) 361 530 721 43 926 576 0(24723.00, 24723.00)
route 54, node_num 9, cost 637.686000, nodes: 0(120000.00, 120000.00) 826 249 270 690 134 956 840 0(74451.00, 74451.00)
route 55, node_num 8, cost 1116.794000, nodes: 0(120000.00, 120000.00) 824 591 894 353 457 959 0(40229.00, 40229.00)
route 56, node_num 8, cost 1294.328000, nodes: 0(120000.00, 120000.00) 846 9 165 100 64 203 1071 0(27548.00, 27548.00)
route 57, node_num 7, cost 970.102000, nodes: 0(120000.00, 120000.00) 995 563 328 268 880 0(50707.00, 50707.00)
route 58, node_num 8, cost 958.160000, nodes: 0(120000.00, 120000.00) 594 899 802 538 954 419 0(51560.00, 51560.00)
route 59, node_num 7, cost 1335.754000, nodes: 0(120000.00, 120000.00) 243 688 562 580 316 0(24589.00, 24589.00)
route 60, node_num 9, cost 1913.912000, nodes: 0(120000.00, 120000.00) 1039(67416.00, 67416.00) 695 783 6 107 1090 308 1071(19841.00, 36549.00) 0(0.00, 0.00)
route 61, node_num 8, cost 1362.648000, nodes: 0(120000.00, 120000.00) 401 416 82 854 126 560 1067 0(22668.00, 22668.00)
route 62, node_num 7, cost 342.244000, nodes: 0(120000.00, 120000.00) 910 263 179 344 396 0(95554.00, 95554.00)
route 63, node_num 8, cost 982.856000, nodes: 0(120000.00, 120000.00) 57 148 301 275 744 462 0(49796.00, 49796.00)
route 64, node_num 9, cost 898.618000, nodes: 0(120000.00, 120000.00) 310 434 248 689 178 579 352 0(55813.00, 55813.00)
route 65, node_num 7, cost 1502.256000, nodes: 0(120000.00, 120000.00) 487 142 729 1082 523 340 0(12696.00, 12696.00)
route 66, node_num 7, cost 1559.558000, nodes: 0(120000.00, 120000.00) 472 116 97 49 741 0(8603.00, 8603.00)
route 67, node_num 9, cost 768.390000, nodes: 0(120000.00, 120000.00) 376 1041 599 386 26 95 91 616 1083 0(65115.00, 65115.00)
route 68, node_num 5, cost 508.494000, nodes: 0(120000.00, 120000.00) 630 272 482 0(83679.00, 83679.00)
route 69, node_num 7, cost 1535.478000, nodes: 0(120000.00, 120000.00) 10 548 637 573 661 0(10323.00, 10323.00)
route 70, node_num 8, cost 1432.564000, nodes: 0(120000.00, 120000.00) 261 359 648 186 143 423 1085 0(17674.00, 17674.00)
route 71, node_num 6, cost 588.644000, nodes: 0(120000.00, 120000.00) 968 34 246 417 0(77954.00, 77954.00)
route 72, node_num 8, cost 1717.100000, nodes: 0(120000.00, 120000.00) 710 1042(56173.00, 58823.00) 240 759 302 281 0(0.00, 0.00)
route 73, node_num 8, cost 1293.810000, nodes: 0(120000.00, 120000.00) 1003 977 862 772 5 571 267 0(27585.00, 27585.00)
route 74, node_num 10, cost 1684.242000, nodes: 0(120000.00, 120000.00) 432 61 739 1011(59515.00, 59515.00) 28 595 398 1047 1071(36246.00, 36549.00) 0(0.00, 0.00)
route 75, node_num 8, cost 769.916000, nodes: 0(120000.00, 120000.00) 780 480 69 733 223 474 0(65006.00, 65006.00)
route 76, node_num 8, cost 1403.962000, nodes: 0(120000.00, 120000.00) 212 700 392 583 48 635 0(19717.00, 19717.00)
route 77, node_num 8, cost 1445.234000, nodes: 0(120000.00, 120000.00) 127 251 581 620 67 105 0(16769.00, 16769.00)
route 78, node_num 7, cost 828.142000, nodes: 0(120000.00, 120000.00) 146 907 182 122 39 0(60847.00, 60847.00)
route 79, node_num 8, cost 1518.104000, nodes: 0(120000.00, 120000.00) 829 466 672 455 869 452 0(11564.00, 11564.00)
route 80, node_num 8, cost 1477.966000, nodes: 0(120000.00, 120000.00) 360 857 675 919 73 177 1068 1086 1025 0(14431.00, 14431.00)
route 81, node_num 8, cost 1378.412000, nodes: 0(120000.00, 120000.00) 592 429 224 440 601 290 0(21542.00, 21542.00)
route 82, node_num 7, cost 1565.438000, nodes: 0(120000.00, 120000.00) 346 667 8 144 867 0(8183.00, 8183.00)
route 83, node_num 6, cost 411.082000, nodes: 0(120000.00, 120000.00) 994 984 94 813 0(90637.00, 90637.00)
route 84, node_num 7, cost 1069.026000, nodes: 0(120000.00, 120000.00) 189 375 915 866 36 0(43641.00, 43641.00)
route 85, node_num 7, cost 851.956000, nodes: 0(120000.00, 120000.00) 322 701 115 119 448 0(59146.00, 59146.00)
route 86, node_num 8, cost 492.940000, nodes: 0(120000.00, 120000.00) 431 484 771 470 999 589 0(84790.00, 84790.00)
route 87, node_num 8, cost 1191.750000, nodes: 0(120000.00, 120000.00) 259 565 56 748 295 371 0(34875.00, 34875.00)
route 88, node_num 7, cost 994.630000, nodes: 0(120000.00, 120000.00) 949 41 191 833 188 0(48955.00, 48955.00)
route 89, node_num 6, cost 1415.750000, nodes: 0(120000.00, 120000.00) 606 957 874 162 0(18875.00, 18875.00)
route 90, node_num 6, cost 410.144000, nodes: 0(120000.00, 120000.00) 76 566 810 865 0(90704.00, 90704.00)
route 91, node_num 7, cost 1368.038000, nodes: 0(120000.00, 120000.00) 149 266 821 370 343 0(22283.00, 22283.00)
route 92, node_num 7, cost 957.740000, nodes: 0(120000.00, 120000.00) 615 298 84 206 893 0(51590.00, 51590.00)
route 93, node_num 6, cost 678.636000, nodes: 0(120000.00, 120000.00) 817 513 844 282 0(71526.00, 71526.00)
route 94, node_num 7, cost 863.408000, nodes: 0(120000.00, 120000.00) 173 208 609 982 169 0(58328.00, 58328.00)
route 95, node_num 7, cost 1178.016000, nodes: 0(120000.00, 120000.00) 746 629 296 807 276 1001 0(35856.00, 35856.00)
route 96, node_num 7, cost 629.790000, nodes: 0(120000.00, 120000.00) 903 627 488 220 753 0(75015.00, 75015.00)
route 97, node_num 8, cost 1593.046000, nodes: 0(120000.00, 120000.00) 460 738 921 858 718 207 0(6211.00, 6211.00)
route 98, node_num 8, cost 1178.716000, nodes: 0(120000.00, 120000.00) 979 408 876 722 13 720 0(35806.00, 35806.00)
route 99, node_num 7, cost 787.388000, nodes: 0(120000.00, 120000.00) 669 751 765 130 510 0(63758.00, 63758.00)
route 100, node_num 8, cost 977.466000, nodes: 0(120000.00, 120000.00) 250 438 337 785 877 816 0(50181.00, 50181.00)
route 101, node_num 8, cost 707.714000, nodes: 0(120000.00, 120000.00) 390 199 885 74 106 837 0(69449.00, 69449.00)
route 102, node_num 9, cost 1803.746000, nodes: 0(120000.00, 120000.00) 1039(67416.00, 67416.00) 754 647 922 53 1039(44543.00, 53382.00) 517 0(0.00, 0.00)
route 103, node_num 6, cost 1045.002000, nodes: 0(120000.00, 120000.00) 442 507 577 973 0(45357.00, 45357.00)
route 104, node_num 7, cost 944.650000, nodes: 0(120000.00, 120000.00) 825 163 221 681 215 0(52525.00, 52525.00)
route 105, node_num 8, cost 915.306000, nodes: 0(120000.00, 120000.00) 242 898 656 287 552 1057 827 0(54621.00, 54621.00)
route 106, node_num 8, cost 689.864000, nodes: 0(120000.00, 120000.00) 479 847 806 818 239 981 0(70724.00, 70724.00)
route 107, node_num 9, cost 894.950000, nodes: 0(120000.00, 120000.00) 280 160 284 22 707 238 374 0(56075.00, 56075.00)
route 108, node_num 7, cost 1310.120000, nodes: 0(120000.00, 120000.00) 70 102 655 404 7 0(26420.00, 26420.00)
route 109, node_num 7, cost 999.600000, nodes: 0(120000.00, 120000.00) 542 796 795 708 758 0(48600.00, 48600.00)
route 110, node_num 6, cost 700.826000, nodes: 0(120000.00, 120000.00) 502 916 508 395 0(69941.00, 69941.00)
route 111, node_num 7, cost 762.720000, nodes: 0(120000.00, 120000.00) 512 546 35 254 403 0(65520.00, 65520.00)
route 112, node_num 8, cost 1853.796000, nodes: 0(120000.00, 120000.00) 985 687 815 617 1060(39602.00, 52016.00) 413 0(0.00, 0.00)
route 113, node_num 8, cost 697.606000, nodes: 0(120000.00, 120000.00) 158 486 975 40 726 544 0(70171.00, 70171.00)
route 114, node_num 6, cost 663.978000, nodes: 0(120000.00, 120000.00) 861 397 190 859 0(72573.00, 72573.00)
route 115, node_num 6, cost 756.224000, nodes: 0(120000.00, 120000.00) 719 1014 131 532 11 0(65984.00, 65984.00)
route 116, node_num 9, cost 1869.728000, nodes: 0(120000.00, 120000.00) 378 863 793 644 564 996 1096(12946.00, 26498.00) 1025 0(0.00, 0.00)
route 117, node_num 8, cost 994.910000, nodes: 0(120000.00, 120000.00) 201 465 345 775 12 219 0(48935.00, 48935.00)
route 118, node_num 8, cost 969.080000, nodes: 0(120000.00, 120000.00) 135 365 611 831 934 420 0(50780.00, 50780.00)
route 119, node_num 8, cost 909.818000, nodes: 0(120000.00, 120000.00) 289 622 665 561 978 809 0(55013.00, 55013.00)
route 120, node_num 8, cost 827.008000, nodes: 0(120000.00, 120000.00) 75 305 711 327 943 329 0(60928.00, 60928.00)
route 121, node_num 7, cost 1405.026000, nodes: 0(120000.00, 120000.00) 691 897 845 55 971 0(19641.00, 19641.00)
route 122, node_num 9, cost 707.560000, nodes: 0(120000.00, 120000.00) 964 388 873 792 425 944 50 0(69460.00, 69460.00)
route 123, node_num 8, cost 783.538000, nodes: 0(120000.00, 120000.00) 373 842 258 418 789 636 0(64033.00, 64033.00)
route 124, node_num 7, cost 1339.058000, nodes: 0(120000.00, 120000.00) 596 152 814 78 241 0(24353.00, 24353.00)
route 125, node_num 8, cost 1769.222000, nodes: 0(120000.00, 120000.00) 924 712 911 646 509 1040(16242.00, 22615.00) 0(0.00, 0.00)
route 126, node_num 8, cost 1139.264000, nodes: 0(120000.00, 120000.00) 231 923 262 965 4 336 0(38624.00, 38624.00)
route 127, node_num 8, cost 929.208000, nodes: 0(120000.00, 120000.00) 734 735 929 835 520 767 0(53628.00, 53628.00)
route 128, node_num 8, cost 1311.352000, nodes: 0(120000.00, 120000.00) 304 461 770 947 477 205 0(26332.00, 26332.00)
route 129, node_num 7, cost 832.790000, nodes: 0(120000.00, 120000.00) 736 501 350 491 778 0(60515.00, 60515.00)
route 130, node_num 8, cost 806.176000, nodes: 0(120000.00, 120000.00) 230 680 713 651 664 32 0(62416.00, 62416.00)
route 131, node_num 7, cost 859.068000, nodes: 0(120000.00, 120000.00) 743 702 557 93 988 0(58638.00, 58638.00)
route 132, node_num 8, cost 1532.328000, nodes: 0(120000.00, 120000.00) 300 610 836 884 264 252 0(10548.00, 10548.00)
route 133, node_num 8, cost 1144.612000, nodes: 0(120000.00, 120000.00) 225 895 515 445 849 900 0(38242.00, 38242.00)
route 134, node_num 8, cost 1021.678000, nodes: 0(120000.00, 120000.00) 430 273 948 59 444 193 0(47023.00, 47023.00)
route 135, node_num 7, cost 1418.452000, nodes: 0(120000.00, 120000.00) 140 839 518 112 384 0(18682.00, 18682.00)
route 136, node_num 8, cost 1157.646000, nodes: 0(120000.00, 120000.00) 306 728 364 545 228 469 0(37311.00, 37311.00)
route 137, node_num 7, cost 629.104000, nodes: 0(120000.00, 120000.00) 529 540 568 855 331 0(75064.00, 75064.00)
route 138, node_num 8, cost 1622.600000, nodes: 0(120000.00, 120000.00) 535 88 129 941 626 1000 1004 0(4100.00, 4100.00)
route 139, node_num 8, cost 455.350000, nodes: 0(120000.00, 120000.00) 641 554 972 820 317 575 0(87475.00, 87475.00)
route 140, node_num 7, cost 594.342000, nodes: 0(120000.00, 120000.00) 167 204 427 683 882 0(77547.00, 77547.00)
route 141, node_num 7, cost 1206.170000, nodes: 0(120000.00, 120000.00) 717 446 522 313 171 0(33845.00, 33845.00)
route 142, node_num 8, cost 1173.186000, nodes: 0(120000.00, 120000.00) 993 45 174 402 553 369 0(36201.00, 36201.00)
route 143, node_num 8, cost 1073.338000, nodes: 0(120000.00, 120000.00) 255 176 347 547 68 600 0(43333.00, 43333.00)
route 144, node_num 7, cost 1659.140000, nodes: 0(120000.00, 120000.00) 533 631 385 828 875 0(1490.00, 1490.00)
route 145, node_num 7, cost 1599.584000, nodes: 0(120000.00, 120000.00) 752 493 537 439 730 0(5744.00, 5744.00)
route 146, node_num 7, cost 1144.514000, nodes: 0(120000.00, 120000.00) 526 1003 803 379 292 443 0(38249.00, 38249.00)
route 147, node_num 8, cost 1394.610000, nodes: 0(120000.00, 120000.00) 917 441 478 773 527 381 0(20385.00, 20385.00)
route 148, node_num 8, cost 1693.048000, nodes: 0(120000.00, 120000.00) 998 841 128 1056 848 505 1075(16593.00, 17525.00) 0(0.00, 0.00)
route 149, node_num 7, cost 1408.610000, nodes: 0(120000.00, 120000.00) 368 303 639 18 161 0(19385.00, 19385.00)
route 150, node_num 7, cost 1379.518000, nodes: 0(120000.00, 120000.00) 166 58 705 324 164 0(21463.00, 21463.00)
route 151, node_num 7, cost 1039.402000, nodes: 0(120000.00, 120000.00) 233 953 25 892 791 0(45757.00, 45757.00)
route 152, node_num 9, cost 1754.340000, nodes: 0(120000.00, 120000.00) 1012(72845.00, 72845.00) 586 769 269 1055 763 476 1019(18404.00, 23714.00) 0(0.00, 0.00)
route 153, node_num 9, cost 1781.528000, nodes: 0(120000.00, 120000.00) 14 159 740 811 436 23 1045(17810.00, 25062.00) 0(0.00, 0.00)
