Details of the solution:
route 0, node_num 8, cost 1409.758000, nodes: 0(120000.00, 120000.00) 618 963 842 742 67 477 1016 1025 1099 1079 0(19303.00, 19303.00)
route 1, node_num 9, cost 1793.078000, nodes: 0(120000.00, 120000.00) 1030 1043 1087(88725.00, 88725.00) 837 875 330 784 794 1037(40822.00, 48899.00) 1059 1020 1073 1013 0(0.00, 0.00)
route 2, node_num 7, cost 757.246000, nodes: 0(120000.00, 120000.00) 154 296 312 789 1079 241 1058 1036 1013 0(65911.00, 65911.00)
route 3, node_num 8, cost 1522.962000, nodes: 0(120000.00, 120000.00) 1025 1053 1035 180 708 833 78 322 463 1092 1016 1025 1099 1079 0(11217.00, 11217.00)
route 4, node_num 8, cost 1598.604000, nodes: 0(120000.00, 120000.00) 1025 444 944 177 608 1042 427 1037 988 1090 1080 1045 1011 1013 0(5814.00, 5814.00)
route 5, node_num 8, cost 1372.448000, nodes: 0(120000.00, 120000.00) 506 756 828 274 200 250 1093 1072 0(21968.00, 21968.00)
route 6, node_num 8, cost 1282.666000, nodes: 0(120000.00, 120000.00) 1025 1053 899 284 235 836 114 576 1016 1025 1099 1079 0(28381.00, 28381.00)
route 7, node_num 7, cost 1658.412000, nodes: 0(120000.00, 120000.00) 1025 1053 1035 709 1017 424 979 309 905 1045 1011 1013 0(1542.00, 1542.00)
route 8, node_num 8, cost 1449.546000, nodes: 0(120000.00, 120000.00) 1025 542 90 157 980 736 461 1071 1088 1011 1013 0(16461.00, 16461.00)
route 9, node_num 8, cost 1275.764000, nodes: 0(120000.00, 120000.00) 1025 11 932 163 73 826 965 1080 1045 1011 1013 0(28874.00, 28874.00)
route 10, node_num 7, cost 1667.470000, nodes: 0(120000.00, 120000.00) 1073 1026 960 781 735 962 584 1052 1060 1013 0(895.00, 895.00)
route 11, node_num 11, cost 1682.800000, nodes: 0(120000.00, 120000.00) 1030 1043 1090(83974.00, 83974.00) 610 433 1042(66446.00, 66446.00) 961 1042 92 938 118 1050 1006 1008(15502.00, 15702.00) 1091 0(0.00, 0.00)
route 12, node_num 8, cost 1656.998000, nodes: 0(120000.00, 120000.00) 1025 1053 1035 420 622 582 43 244 704 1090 1080 1045 1011 1013 0(1643.00, 1643.00)
route 13, node_num 8, cost 1212.484000, nodes: 0(120000.00, 120000.00) 1025 1088 577 678 859 242 524 144 1071 1088 1011 1013 0(33394.00, 33394.00)
route 14, node_num 10, cost 1749.258000, nodes: 0(120000.00, 120000.00) 1030 1043 1098(87889.00, 87889.00) 718 553 917 440 571 1092 653 1092 1088(22591.00, 27538.00) 1011 1013 0(0.00, 0.00)
route 15, node_num 8, cost 1125.124000, nodes: 0(120000.00, 120000.00) 1025 108 1071 366 409 848 421 1053 267 1016 1025 1099 1079 0(39634.00, 39634.00)
route 16, node_num 8, cost 935.844000, nodes: 0(120000.00, 120000.00) 1012 1079 695 548 560 688 379 551 1045 1011 1013 0(53154.00, 53154.00)
route 17, node_num 8, cost 1010.296000, nodes: 0(120000.00, 120000.00) 700 861 659 388 1080 361 863 1091 0(47836.00, 47836.00)
route 18, node_num 7, cost 818.132000, nodes: 0(120000.00, 120000.00) 1012 1036 36 824 1099 977 699 999 1011 1013 0(61562.00, 61562.00)
route 19, node_num 9, cost 790.930000, nodes: 0(120000.00, 120000.00) 464 532 419 481 1095 923 1011 691 275 1011 1013 0(63505.00, 63505.00)
route 20, node_num 9, cost 1023.904000, nodes: 0(120000.00, 120000.00) 1025 604 19 335 1071 819 896 1026 320 534 1045 1011 1013 0(46864.00, 46864.00)
route 21, node_num 8, cost 925.596000, nodes: 0(120000.00, 120000.00) 1004 282 164 367 50 802 479 1088 1011 1013 0(53886.00, 53886.00)
route 22, node_num 8, cost 869.526000, nodes: 0(120000.00, 120000.00) 1073 541 759 328 234 558 1011 805 1013 0(57891.00, 57891.00)
