Problem,Makespan_baseline,Makespan_algo,Gap_%,Feasible,AllServed,Construction_s,TS_s,Penalty_TW,Penalty_Cap,Penalty_Range,Penalty_Wait,Truck_paths,Drone_paths,Truck_working_time,Drone_working_time
6.5.1,699.6657,699.6657,0.0,True,True,0.001,1.001,0.0,0.0,0.0,0.0,"[[[0, 2, 0]]]","[[[0, 5, 4, 0], [0, 1, 3, 6, 0]]]",[699.6657],[657.0158]
6.5.2,550.7225,581.9915,5.6778,True,True,0.001,0.679,0.0,0.0,0.0,0.0,"[[[0, 4, 0]]]","[[[0, 1, 2, 3, 6, 5, 0]]]",[581.9915],[494.9737]
6.5.3,766.7834,766.7834,0.0,True,True,0.001,0.667,0.0,0.0,0.0,0.0,"[[[0, 3, 4, 0]]]","[[[0, 6, 5, 0], [0, 1, 2, 0]]]",[766.7834],[706.1784]
6.5.4,579.9713,579.9713,-0.0,True,True,0.001,0.555,0.0,0.0,0.0,0.0,"[[[0, 6, 4, 1, 0]]]","[[[0, 2, 3, 5, 0]]]",[579.9713],[537.3725]
6.10.1,1078.7477,1078.7477,0.0,True,True,0.001,1.503,0.0,0.0,0.0,0.0,"[[[0, 3, 2, 0]]]","[[[0, 6, 1, 0], [0, 5, 4, 0]]]",[1058.9239],[1078.7477]
6.10.2,1232.5642,1232.5642,-0.0,True,True,0.002,1.733,0.0,0.0,0.0,0.0,"[[[0, 1, 6, 0]]]","[[[0, 5, 3, 0], [0, 2, 4, 0]]]",[1232.5642],[1218.5907]
6.10.3,1230.0423,1295.786,5.3448,True,True,0.002,1.879,0.0,0.0,0.0,0.0,"[[[0, 1, 5, 0]]]","[[[0, 3, 0], [0, 2, 4, 6, 0]]]",[1295.786],[1290.2334]
6.10.4,997.8432,1071.9963,7.4313,True,True,0.002,1.603,0.0,0.0,0.0,0.0,"[[[0, 5, 3, 4, 0]]]","[[[0, 1, 2, 0], [0, 6, 0]]]",[1071.9963],[850.085]
6.20.1,4486.6813,4486.6813,-0.0,True,True,0.001,0.983,0.0,0.0,0.0,0.0,"[[[0, 2, 1, 3, 5, 0]]]","[[[0, 4, 6, 0]]]",[4486.6813],[519.6656]
6.20.2,4099.7879,4099.7879,0.0,True,True,0.001,1.236,0.0,0.0,0.0,0.0,"[[[0, 4, 3, 2, 0]]]","[[[0, 1, 0], [0, 5, 0], [0, 6, 0]]]",[4099.7879],[1970.6607]
6.20.3,6233.2145,6053.2145,-2.8878,True,True,0.001,1.01,0.0,0.0,0.0,0.0,"[[[0, 3, 6, 5, 2, 0]]]","[[[0, 4, 0], [0, 1, 0]]]",[6053.2145],[1185.3671]
6.20.4,6174.7861,5994.7861,-2.9151,True,True,0.001,0.997,0.0,0.0,0.0,0.0,"[[[0, 5, 4, 3, 2, 0]]]","[[[0, 1, 0], [0, 6, 0]]]",[5994.7861],[1084.0845]
10.5.1,1212.9465,1212.9465,0.0,True,True,0.002,3.424,0.0,0.0,0.0,0.0,"[[[0, 7, 3, 5, 4, 2, 0]]]","[[[0, 6, 8, 10, 1, 0], [0, 9, 0]]]",[1212.9465],[705.3618]
10.5.2,709.2037,709.2037,-0.0,True,True,0.003,4.882,0.0,0.0,0.0,0.0,"[[[0, 8, 2, 10, 0]]]","[[[0, 4, 3, 5, 1, 9, 0], [0, 6, 7, 0]]]",[688.4926],[709.2037]
10.5.3,775.6905,775.6905,0.0,True,True,0.004,4.552,0.0,0.0,0.0,0.0,"[[[0, 4, 1, 10, 9, 0]]]","[[[0, 2, 6, 3, 0], [0, 7, 8, 0], [0, 5, 0]]]",[750.9521],[775.6905]
10.5.4,745.4252,745.4252,0.0,True,True,0.003,5.129,0.0,0.0,0.0,0.0,"[[[0, 8, 5, 0]]]","[[[0, 10, 7, 9, 1, 2, 0], [0, 6, 4, 3, 0]]]",[634.7979],[745.4252]
