Problem,Customers count,Trucks count,Drones count,Energy model,Speed type,Range type,Waiting time limit,Truck speed,Endurance fixed time [s],Endurance drone speed [m/s],Cost [minute],Truck paths,Drone paths,Truck working time,Drone working time,Truck_Capacity (kg),Drone capacity (kg)
10.10.1,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,28.9325005,"[[[0, 6, 9, 10, 4, 5, 1, 0]]]","[[[0, 2, 0], [0, 8, 3, 0], [0, 7, 0]]]",[1735.950029753597],[1691.2142710759736],1400,2.27
10.10.1,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,28.9325005,"[[[0, 6, 9, 10, 4, 5, 1, 0]]]","[[[0, 2, 0], [0, 7, 0], [0, 8, 3, 0]]]",[1735.950029753597],[1691.2142710759738],1400,2.27
10.10.1,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,28.9325005,"[[[0, 6, 9, 10, 4, 5, 1, 0]]]","[[[0, 2, 8, 0], [0, 3, 0], [0, 7, 0]]]",[1735.950029753597],[1732.742861806179],1400,2.27
10.10.1,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,28.9325005,"[[[0, 6, 9, 10, 4, 5, 1, 0]]]","[[[0, 8, 2, 0], [0, 7, 0], [0, 3, 0]]]",[1735.950029753597],[1732.742861806179],1400,2.27
10.10.1,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,28.9325005,"[[[0, 6, 9, 10, 4, 5, 1, 0]]]","[[[0, 2, 0], [0, 7, 0], [0, 8, 3, 0]]]",[1735.950029753597],[1691.2142710759738],1400,2.27
10.10.2,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,33.44546221,"[[[0, 5, 2, 0]]]","[[[0, 4, 1, 10, 3, 0], [0, 6, 9, 8, 0], [0, 7, 0]]]",[2006.7277325718107],[1676.8664801697962],1400,2.27
10.10.2,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,33.44546221,"[[[0, 2, 5, 0]]]","[[[0, 4, 1, 10, 3, 0], [0, 6, 9, 8, 0], [0, 7, 0]]]",[2006.727732571811],[1676.8664801697962],1400,2.27
10.10.2,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,33.44546221,"[[[0, 2, 5, 0]]]","[[[0, 4, 1, 10, 3, 0], [0, 6, 9, 8, 0], [0, 7, 0]]]",[2006.727732571811],[1676.8664801697962],1400,2.27
10.10.2,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,33.44546221,"[[[0, 2, 5, 0]]]","[[[0, 7, 0], [0, 6, 9, 0], [0, 8, 0], [0, 10, 1, 3, 4, 0]]]",[2006.727732571811],[1962.8015705137775],1400,2.27
10.10.2,10,1,1,endurance,high,high,3600,15.6464,700,31.2928,33.44546221,"[[[0, 2, 5, 0]]]","[[[0, 4, 1, 10, 3, 0], [0, 6, 9, 8, 0], [0, 7, 0]]]",[2006.727732571811],[1676.8664801697962],1400,2.27
