Problem,Makespan_baseline,Makespan_algo,Gap_%,Feasible,AllServed,Construction_s,TS_s,Penalty_TW,Penalty_Cap,Penalty_Range,Num_trucks_goc,Num_drones_goc,Extra_trucks_construction,Extra_drones_construction,Num_trucks_used_final,Num_drones_used_final
6.5.1,699.665653,699.6657,0.000000,True,True,0.0000,0.0331,0.0000,0.0000,0.0000,1,1,0,1,1,2
6.5.2,550.722468,581.9915,5.677817,True,True,0.0000,0.0265,0.0000,0.0000,0.0000,1,1,0,0,1,1
6.5.3,766.783386,766.7834,0.000000,True,True,0.0000,0.0247,0.0000,0.0000,0.0000,1,1,0,0,1,1
6.5.4,579.971323,491.6754,-15.224180,True,True,0.0000,0.0276,0.0000,0.0000,0.0000,1,1,0,1,1,2
6.10.1,1078.747671,1039.9672,-3.594949,True,True,0.0000,0.0282,0.0000,0.0000,0.0000,1,1,0,1,1,2
6.10.2,1232.564237,1232.5642,0.000000,True,True,0.0000,0.0238,0.0000,0.0000,0.0000,1,1,0,0,1,1
6.10.3,1230.042312,1295.7860,5.344831,True,True,0.0000,0.0277,0.0000,0.0000,0.0000,1,1,0,0,1,1
6.10.4,997.843211,1071.9963,7.431336,True,True,0.0000,0.0210,0.0000,0.0000,0.0000,1,1,0,0,1,1
6.20.1,4486.681346,4486.6813,0.000000,True,True,0.0000,0.0116,0.0000,0.0000,0.0000,1,1,0,0,1,1
6.20.2,4099.787886,4099.7879,0.000000,True,True,0.0000,0.0176,0.0000,0.0000,0.0000,1,1,0,0,1,1
6.20.3,6233.214545,6053.2145,-2.887756,True,True,0.0000,0.0131,0.0000,0.0000,0.0000,1,1,0,0,1,1
6.20.4,6174.786067,5994.7861,-2.915081,True,True,0.0000,0.0136,0.0000,0.0000,0.0000,1,1,0,0,1,1
10.5.1,1212.946483,1212.9465,0.000000,True,True,0.0000,0.0441,0.0000,0.0000,0.0000,1,1,0,0,1,1
10.5.2,709.203745,709.2037,-0.000000,True,True,0.0000,0.0575,0.0000,0.0000,0.0000,1,1,0,0,1,1
10.5.3,775.690479,703.0388,-9.366070,True,True,0.0000,0.0909,0.0000,0.0000,0.0000,1,1,1,0,2,1
10.5.4,745.425198,745.4252,0.000000,True,True,0.0000,0.0616,0.0000,0.0000,0.0000,1,1,0,0,1,1
10.10.1,1735.950030,1552.7429,-10.553712,True,True,0.0000,0.0746,0.0000,0.0000,0.0000,1,1,0,1,1,2
10.10.2,2006.727733,2006.7277,0.000000,True,True,0.0000,0.0673,0.0000,0.0000,0.0000,1,1,0,0,1,1
10.10.3,1818.150267,1651.7095,-9.154400,True,True,0.0000,0.0618,0.0000,0.0000,0.0000,1,1,0,1,1,2
10.10.4,1359.633305,1359.6333,-0.000000,True,True,0.0000,0.0550,0.0000,0.0000,0.0000,1,1,0,0,1,1
10.20.1,5738.066783,5558.0668,-3.136945,True,True,0.0000,0.0364,0.0000,0.0000,0.0000,1,1,0,0,1,1
10.20.2,6973.407432,6876.8413,-1.384776,True,True,0.0000,0.0319,0.0000,0.0000,0.0000,1,1,0,0,1,1
10.20.3,6468.868414,6437.5841,-0.483614,True,True,0.0000,0.0285,0.0000,0.0000,0.0000,1,1,0,0,1,1
10.20.4,6469.042593,6459.9340,-0.140803,True,True,0.0000,0.0328,0.0000,0.0000,0.0000,1,1,0,0,1,1
12.5.1,722.739436,676.5196,-6.395096,True,True,0.0000,0.0980,0.0000,0.0000,0.0000,1,1,0,1,1,2
12.5.2,682.560645,502.5606,-26.371283,True,True,0.0000,0.1284,0.0000,0.0000,0.0000,1,1,0,1,1,2
12.5.3,1011.069828,1131.3833,11.899625,True,True,0.0000,0.0919,0.0000,0.0000,0.0000,1,1,0,0,1,1
12.5.4,925.822003,745.8220,-19.442182,True,True,0.0000,0.1204,0.0000,0.0000,0.0000,1,1,1,1,2,2
12.10.1,1669.856983,1669.8570,0.000000,True,True,0.0000,0.0990,0.0000,0.0000,0.0000,1,1,0,0,1,1
12.10.2,1670.912241,1490.9122,-10.772559,True,True,0.0000,0.1157,0.0000,0.0000,0.0000,1,1,1,1,2,2
12.10.3,1788.491293,1783.4266,-0.283185,True,True,0.0000,0.1651,0.0000,0.0000,0.0000,1,1,0,1,1,2
12.10.4,1719.958305,1539.9583,-10.465370,True,True,0.0000,0.1120,0.0000,0.0000,0.0000,1,1,0,1,1,2
12.20.1,8240.622102,8210.5584,-0.364823,True,True,0.0000,0.0545,0.0000,0.0000,0.0000,1,1,0,0,1,1
12.20.2,8615.090911,8615.0739,-0.000198,True,True,0.0000,0.0554,0.0000,0.0000,0.0000,1,1,0,0,1,1
12.20.3,5974.029743,5973.0139,-0.017004,True,True,0.0000,0.0620,0.0000,0.0000,0.0000,1,1,0,0,1,1
12.20.4,7417.996848,7400.5139,-0.235683,True,True,0.0000,0.0439,0.0000,0.0000,0.0000,1,1,0,0,1,1
20.5.1,614.378952,625.9857,1.889182,True,True,0.0000,0.4636,0.0000,0.0000,0.0000,2,2,1,0,3,2
20.5.2,701.140904,672.1061,-4.141081,True,True,0.0000,0.7033,0.0000,0.0000,0.0000,2,2,1,0,3,2
20.5.3,471.251471,413.3278,-12.291448,True,True,0.0000,0.4817,0.0000,0.0000,0.0000,2,2,0,1,2,3
20.5.4,500.782178,478.3054,-4.488326,True,True,0.0000,0.4604,0.0000,0.0000,0.0000,2,2,0,1,2,3
20.10.1,1166.097279,1200.0628,
