Ten Instance;;;;
A-n32-k5.vrp;784;812.65;3.65%;0.5585
A-n33-k5.vrp;661;699.87;5.88%;0.3523
A-n33-k6.vrp;742;743.76;0.24%;0.2739
A-n34-k5.vrp;778;793.42;1.98%;0.4572
A-n36-k5.vrp;799;887.69;11.10%;0.3531
A-n37-k5.vrp;669;721.26;7.81%;0.3727
A-n37-k6.vrp;949;997.94;5.16%;0.5496
A-n38-k5.vrp;730;820.48;12.39%;0.4509
A-n39-k5.vrp;822;966.14;17.54%;0.3524
A-n39-k6.vrp;831;924.73;11.28%;0.2152
A-n44-k6.vrp;937;974.45;4.00%;10.112
A-n45-k6.vrp;944;1067.09;13.04%;0.498
A-n45-k7.vrp;1146;1351.6;17.94%;0.3696
A-n46-k7.vrp;914;1131.84;23.83%;0.3767
A-n48-k7.vrp;1073;1338.58;24.75%;0.7135
A-n53-k7.vrp;1010;1369.17;35.56%;0.3644
A-n54-k7.vrp;1167;1293.36;10.83%;10.986
A-n55-k9.vrp;1073;1305.97;21.71%;1.049
A-n60-k9.vrp;1354;1651.01;21.94%;0.9471
A-n61-k9.vrp;1034;1206.5;16.68%;1.105
A-n62-k8.vrp;1288;1730.91;34.39%;0.5583
A-n63-k10.vrp;1314;1689.23;28.56%;0.8519
A-n63-k9.vrp;1616;1866.73;15.52%;0.9681
A-n64-k9.vrp;1401;1599.86;14.19%;12.319
A-n65-k9.vrp;1174;1654.31;40.91%;0.8012
A-n69-k9.vrp;1159;1528.91;31.92%;13.849
A-n80-k10.vrp;1763;2314.45;31.28%;14.911
